   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 1- 0	 1- 2	 1- 3	     3530.73	 2.003	0.06	0.10
 1- 0	 1- 2	 2- 0	     1412.42	15.018	0.14	0.10
 1- 0	 1- 2	 2- 1	     1208.40	 4.388	0.21	0.20
 1- 0	 1- 2	 2- 2	     1913.34	 3.695	0.13	0.10
 1- 0	 1- 2	 3- 0	     3003.13	 7.063	0.08	0.10
 1- 0	 1- 2	 3- 1	     2375.33	 8.930	0.09	0.10
 1- 0	 1- 2	 3- 2	     4038.69	 5.252	0.06	0.10
 1- 0	 1- 2	 3- 3	    11024.50	Ej Spelad	0.10	0.10
 1- 0	 1- 2	 4- 0	     7651.19	Ej Spelad	0.10	0.10
 1- 0	 1- 2	 4- 1	     6506.78	Ej Spelad	0.10	0.10
 1- 0	 1- 2	 4- 2	     9760.18	Ej Spelad	0.10	0.10
 1- 0	 1- 3	 0- 0	     2648.68	 8.009	0.09	0.10
 1- 0	 1- 3	 0- 1	     3087.15	 6.871	0.08	0.10
 1- 0	 1- 3	 0- 3	    14402.27	Ej Spelad	0.10	0.10
 1- 0	 1- 3	 1- 0	     2256.45	 9.401	0.10	0.10
 1- 0	 1- 3	 1- 1	     1730.62	12.257	0.12	0.10
 1- 0	 1- 3	 1- 2	     3434.73	 6.176	0.07	0.10
 1- 0	 1- 3	 1- 3	     7785.92	Ej Spelad	0.10	0.10
 1- 0	 1- 3	 2- 0	     3114.65	Ej Spelad	0.10	0.10
 1- 0	 1- 3	 2- 1	     2664.76	 7.960	0.09	0.10
 1- 0	 1- 3	 2- 2	     4219.28	 5.027	0.06	0.10
 1- 0	 1- 3	 2- 3	    12474.83	Ej Spelad	0.10	0.10
 1- 0	 1- 3	 3- 0	     6622.47	Ej Spelad	0.10	0.10
 1- 0	 1- 3	 3- 1	     5238.05	Ej Spelad	0.10	0.10
 1- 0	 1- 3	 3- 2	     8906.08	Ej Spelad	0.10	0.10
 1- 0	 1- 3	 4- 1	    14348.69	Ej Spelad	0.10	0.10
 1- 0	 1- 4	 0- 0	     8638.77	Ej Spelad	0.10	0.10
 1- 0	 1- 4	 0- 1	    10068.85	Ej Spelad	0.10	0.10
 1- 0	 1- 4	 1- 0	     7359.49	Ej Spelad	0.10	0.10
 1- 0	 1- 4	 1- 1	     5644.49	Ej Spelad	0.10	0.10
 1- 0	 1- 4	 1- 2	    11202.50	Ej Spelad	0.10	0.10
 1- 0	 1- 4	 2- 0	    10158.55	Ej Spelad	0.10	0.10
 1- 0	 1- 4	 2- 1	     8691.21	Ej Spelad	0.10	0.10
 1- 0	 1- 4	 2- 2	    13761.35	Ej Spelad	0.10	0.10
 1- 0	 2- 0	 1- 0	     1487.25	 1.297	0.07	0.10
 1- 0	 2- 0	 2- 0	     2052.90	 2.067	0.10	0.10
 1- 0	 2- 0	 2- 1	     1756.37	 2.013	0.12	0.10
 1- 0	 2- 0	 3- 0	     4364.95	 2.430	0.05	0.10
 1- 0	 2- 0	 3- 1	     3452.46	 2.048	0.06	0.10
 1- 0	 2- 0	 4- 0	    11120.75	Ej Spelad	0.10	0.10
 1- 0	 2- 1	 0- 0	     1169.38	 1.296	0.09	0.10
 1- 0	 2- 1	 1- 0	      996.21	 2.366	0.23	0.20
 1- 0	 2- 1	 1- 1	      764.06	 1.262	0.13	0.10
